4,5,TX,Cass County,0
5,3,TX,Childress County,168072
4,10,TX,Crockett County,150793
4,2,TX,Austin County,60945
5,11,TX,Childress County,144097
4,9,TX,Hale County,141753
4,13,TX,Nueces County,250000
2,1,TX,Upshur County,107398
4,1,TX,Jim Hogg County,167785
3,17,TX,Wise County,76535
1,18,TX,Wharton County,158448
6,12,TX,Camp County,59112
2,12,TX,Armstrong County,104178
2,10,TX,Jack County,76236
3,12,TX,Starr County,163225
3,12,TX,Hopkins County,207848
3,16,TX,Lamb County,144317
5,5,TX,Sherman County,165788
3,15,TX,Upshur County,0
5,15,TX,La Salle County,157328
6,18,TX,McLennan County,120156
4,18,TX,Shackelford County,111888
4,4,TX,Trinity County,211395
1,8,TX,Gonzales County,180398
3,8,TX,Blanco County,132997
5,6,TX,Shelby County,50145
6,18,TX,Crane County,151045
6,7,TX,Howard County,14790
6,1,TX,Jim Hogg County,110426
5,10,TX,Galveston County,110014
3,5,TX,Shelby County,80045
3,7,TX,Sterling County,37179
1,10,TX,Somervell County,99019
3,1,TX,Crane County,112675
2,13,TX,Lavaca County,139514
4,6,TX,Winkler County,64269
3,8,TX,Cottle County,151756
3,8,TX,Coke County,107416
4,10,TX,Collin County,100955
5,9,TX,Panola County,75089
6,8,TX,Dawson County,174261
6,9,TX,Dimmit County,98407
2,17,TX,Gonzales County,126736
2,18,TX,Titus County,137255
2,8,TX,Gregg County,93039
3,7,TX,Colorado County,105144
2,15,TX,Mills County,44571
2,6,TX,Eastland County,136560
5,3,TX,Lubbock County,223937
3,11,TX,Crockett County,160815
4,10,TX,Titus County,79477
2,6,TX,Comal County,179240
2,9,TX,Walker County,86081
4,2,TX,Live Oak County,146662
2,1,TX,Brazoria County,69942
2,18,TX,Ward County,191814
5,1,TX,Hardin County,25440
6,14,TX,San Augustine County,125930
3,16,TX,Runnels County,110100
1,15,TX,Crane County,232748
1,9,TX,Wharton County,161343
4,14,TX,Kinney County,211405
6,7,TX,Lee County,150097
1,14,TX,Andrews County,243094
6,6,TX,Camp County,30165
5,2,TX,Comanche County,133926
6,10,TX,Hunt County,224111
2,18,TX,Burleson County,237908
4,7,TX,Gillespie County,109704
6,1,TX,Garza County,120767
6,4,TX,Caldwell County,84709
2,9,TX,Irion County,65490
3,13,TX,Motley County,83775
1,8,TX,Kaufman County,127818
4,7,TX,Galveston County,103275
4,7,TX,Leon County,106011
4,4,TX,Jim Hogg County,170532
3,9,TX,Pecos County,146020
1,4,TX,Upshur County,144586
3,13,TX,Irion County,222947
2,4,TX,Castro County,161907
4,7,TX,Bastrop County,0
6,5,TX,Fayette County,250000
5,1,TX,Dawson County,153028
2,9,TX,Val Verde County,139243
4,12,TX,Milam County,195460
6,18,TX,Collingsworth County,225009
4,8,TX,Caldwell County,148525
3,8,TX,Erath County,122203
1,5,TX,Uvalde County,250000
3,10,TX,Kent County,126708
5,12,TX,Newton County,209673
4,9,TX,Ochiltree County,203091
3,14,TX,Cherokee County,106634
6,6,TX,Garza County,32695
2,4,TX,Menard County,240161
4,2,TX,Culberson County,70180
4,11,TX,Scurry County,67474
1,7,TX,Galveston County,91434
4,14,TX,Webb County,116649
4,12,TX,Presidio County,213819
3,11,TX,Haskell County,37551
3,5,TX,Tyler County,94957
2,11,TX,Brewster County,130213
5,13,TX,Grimes County,48556
6,10,TX,Pecos County,137189
4,18,TX,Val Verde County,179604
6,8,TX,Culberson County,131394
6,13,TX,Stephens County,63403
6,18,TX,Zapata County,140649
1,10,TX,Lipscomb County,228687
1,7,TX,Caldwell County,106902
4,16,TX,San Patricio County,183400
5,10,TX,Fannin County,76134
3,1,TX,McLennan County,145742
2,7,TX,Garza County,71767
1,13,TX,Cass County,109081
4,7,TX,Mason County,159627
2,4,TX,Cooke County,193117
5,13,TX,Dickens County,158239
1,1,TX,Menard County,121039
6,10,TX,Jasper County,110028
6,10,TX,Foard County,55976
3,7,TX,Grimes County,65396
5,9,TX,Callahan County,125015
6,11,TX,Gonzales County,121927
4,17,TX,Tom Green County,131417
1,11,TX,Coleman County,0
5,18,TX,Sutton County,147398
4,12,TX,Archer County,0
2,11,TX,Lamar County,204805
1,7,TX,Wharton County,250000
5,13,TX,Wheeler County,144605
2,12,TX,Hale County,0
4,7,TX,Eastland County,2910
2,15,TX,Cochran County,129730
1,4,TX,Armstrong County,72338
3,1,TX,Parmer County,94507
5,10,TX,Kaufman County,208343
3,8,TX,Mason County,206281
3,13,TX,Williamson County,215168
5,10,TX,Eastland County,183119
4,1,TX,Johnson County,137753
4,8,TX,Sterling County,47858
4,4,TX,Bee County,185209
3,7,TX,Val Verde County,0
6,10,TX,Dallam County,76276
6,2,TX,Travis County,120090
2,4,TX,Travis County,147322
2,14,TX,Harrison County,183745
4,14,TX,Montague County,177538
3,15,TX,Menard County,138279
5,9,TX,Rockwall County,95588
6,7,TX,Brooks County,176079
4,8,TX,Hood County,31109
1,7,TX,San Saba County,108233
5,14,TX,Medina County,120155
6,11,TX,Robertson County,138274
1,12,TX,Coleman County,77068
3,6,TX,San Jacinto County,107086
6,14,TX,Matagorda County,116961
2,10,TX,Bastrop County,164485
3,4,TX,Reagan County,115824
6,4,TX,Gillespie County,74090
4,7,TX,Orange County,109488
6,7,TX,Hood County,132442
5,11,TX,Robertson County,203575
5,3,TX,Ector County,187366
3,9,TX,Hall County,122857
3,11,TX,Edwards County,95033
5,12,TX,Andrews County,57483
3,14,TX,Refugio County,72394
4,10,TX,Dawson County,97643
6,8,TX,Erath County,214713
4,13,TX,King County,28578
3,8,TX,Ellis County,182839
4,1,TX,Lubbock County,229710
3,7,TX,Anderson County,0
5,8,TX,Donley County,135719
3,3,TX,Newton County,54902
5,15,TX,Madison County,54939
1,11,TX,Reeves County,110377
4,13,TX,Dallas County,212637
6,10,TX,Harrison County,118625
4,8,TX,San Jacinto County,41422
3,1,TX,Webb County,52987
5,9,TX,Navarro County,160721
4,2,TX,Ochiltree County,108464
6,6,TX,Sutton County,248210
1,1,TX,Mills County,182394
4,12,TX,Hopkins County,55350
6,4,TX,Hunt County,140608
4,8,TX,Galveston County,8608
4,15,TX,Glasscock County,114339
5,4,TX,Irion County,40050
5,18,TX,Panola County,197513
1,14,TX,Comanche County,158440
6,14,TX,Yoakum County,239464
4,8,TX,Coryell County,250000
4,1,TX,Loving County,127128
1,11,TX,Grayson County,69478
3,12,TX,Houston County,102959
2,11,TX,Lampasas County,126713
2,7,TX,Schleicher County,125737
4,15,TX,Wilson County,218024
4,14,TX,Karnes County,106948
2,5,TX,Jefferson County,74632
4,6,TX,Crane County,166740
4,15,TX,Jim Hogg County,70007
2,7,TX,Williamson County,154998
5,10,TX,Tom Green County,32387
3,14,TX,Guadalupe County,84626
3,12,TX,Moore County,91549
6,8,TX,Walker County,143050
2,11,TX,Calhoun County,121738
3,4,TX,Burleson County,162359
2,5,TX,Hardin County,89030
1,14,TX,Dallam County,185425
5,8,TX,Mason County,53716
2,17,TX,Goliad County,90617
3,10,TX,Bastrop County,250000
3,5,TX,Dallam County,146650
5,4,TX,Guadalupe County,183569
4,7,TX,Nueces County,110764
3,1,TX,Red River County,0
5,15,TX,Hutchinson County,178097
1,6,TX,Hemphill County,221266
2,13,TX,Bell County,36558
2,14,TX,Ector County,39125
3,11,TX,Hudspeth County,55880
3,14,TX,Gillespie County,112813
2,10,TX,Bell County,154978
4,14,TX,Shackelford County,195749
3,5,TX,Brown County,98268
2,16,TX,Lee County,193307
5,18,TX,Yoakum County,7855
5,7,TX,Armstrong County,108788
2,9,TX,Willacy County,238534
4,13,TX,Guadalupe County,83709
3,18,TX,Mills County,106555
1,14,TX,Jack County,134933
1,14,TX,Gray County,168504
1,9,TX,Stonewall County,28567
2,12,TX,Rusk County,130389
3,10,TX,Sutton County,35773
4,13,TX,El Paso County,85904
2,5,TX,Llano County,215758
2,10,TX,Jim Wells County,138666
5,1,TX,Taylor County,20870
4,13,TX,Jasper County,126915
5,7,TX,San Saba County,154992
4,7,TX,Lee County,104860
4,9,TX,Grimes County,228677
5,13,TX,Montague County,132872
3,18,TX,Cooke County,139021
3,13,TX,Kendall County,189593
4,6,TX,Wichita County,97695
3,11,TX,Tom Green County,196104
3,10,TX,Mason County,116611
5,7,TX,Hemphill County,93791
6,13,TX,Garza County,164544
2,9,TX,Andrews County,81202
4,3,TX,Llano County,159931
6,6,TX,Hardin County,95241
4,17,TX,Garza County,172828
3,13,TX,Franklin County,125042
6,11,TX,Stephens County,199861
5,7,TX,Brown County,147226
5,16,TX,Aransas County,160441
3,6,TX,Mills County,112002
1,8,TX,Refugio County,84417
4,1,TX,Washington County,134852
5,13,TX,Jackson County,71286
5,2,TX,Wichita County,125824
5,2,TX,Randall County,109352
3,8,TX,Montague County,160618
6,12,TX,Shackelford County,156921
3,11,TX,Montague County,171334
4,14,TX,Hall County,233819
4,6,TX,Yoakum County,53261
3,1,TX,Comanche County,187062
3,11,TX,Real County,98178
6,12,TX,Liberty County,181188
3,14,TX,Bowie County,150279
1,9,TX,Borden County,19426
2,11,TX,Midland County,163408
1,13,TX,Pecos County,157488
5,4,TX,Cass County,140783
5,5,TX,Rusk County,198136
4,5,TX,Motley County,96977
2,5,TX,Montague County,110826
1,15,TX,Cherokee County,189948
1,11,TX,Borden County,75787
1,11,TX,Brown County,50152
1,3,TX,Reagan County,100547
2,12,TX,Jackson County,88069
4,18,TX,Gonzales County,250000
2,6,TX,Taylor County,172220
6,7,TX,Sutton County,168298
1,5,TX,Bosque County,111340
6,6,TX,Hardin County,248737
3,5,TX,Young County,200111
3,5,TX,Irion County,115321
4,15,TX,Montgomery County,65327
4,8,TX,Navarro County,127269
5,7,TX,Hale County,73382
4,2,TX,Coke County,129690
6,9,TX,Bandera County,0
4,12,TX,San Jacinto County,72712
4,11,TX,Rains County,63489
2,16,TX,Jackson County,106110
6,16,TX,Fannin County,70819
3,4,TX,Oldham County,111412
2,4,TX,Marion County,136322
6,18,TX,Llano County,212099
5,13,TX,Grimes County,90819
4,6,TX,Hemphill County,239200
4,6,TX,Comanche County,163276
3,6,TX,Rusk County,19134
2,15,TX,Comal County,80162
2,9,TX,McMullen County,120362
3,8,TX,Schleicher County,98717
3,10,TX,Kendall County,108028
1,9,TX,Wichita County,217277
3,5,TX,Hartley County,239906
2,11,TX,Polk County,80782
2,7,TX,Frio County,108372
4,13,TX,Mason County,121728
5,4,TX,Ector County,138306
5,13,TX,Taylor County,128694
3,5,TX,Parmer County,15640
3,17,TX,Polk County,102196
4,3,TX,Sterling County,216464
1,2,TX,Hood County,109360
4,10,TX,Parmer County,16016
3,14,TX,Kimble County,182688
2,10,TX,Martin County,68017
5,3,TX,Lipscomb County,171189
6,10,TX,La Salle County,161558
1,4,TX,Scurry County,100836
3,10,TX,Swisher County,91003
1,10,TX,Freestone County,126554
4,15,TX,Cooke County,65877
